County,Beshear,Bevin,Hicks,Write-in,Adams,Henry,Cameron,Stumbo,Harmon,Donahue,Hugenberg,Ball,Bowman,Quarles,Conway,Gilpin
Logan,"2,911","4,525",166,0,"4,778","2,664","4,952","2,482","4,727","2,317",217,"5,072","2,280","5,008","2,188",175
Lyon,"1,253","1,779",43,0,"1,889","1,153","1,920","1,119","1,847","1,067",71,"2,059",969,"1,990",975,44
Madison,"15,017","14,943",705,8,"16,780","13,799","17,737","12,772","17,585","11,526","1,199","19,023","11,345","18,477","10,807","1,078"
Magoffin,"1,968","1,629",77,0,"1,878","1,755","1,846","1,823","1,930","1,560",63,"2,057","1,565","2,000","1,580",48
Marion,"3,155","2,787",119,0,"2,418","3,587","3,162","2,782","2,950","2,669",113,"3,460","2,377","3,162","2,497",160
Marshall,"4,834","7,526",290,0,"8,167","4,334","8,201","4,293","7,778","4,098",428,"8,538","3,864","8,172","3,898",350
Martin,554,"1,596",55,0,"1,775",404,"1,738",462,"1,789",309,56,"1,855",330,"1,788",350,45
Mason,"2,246","2,719",111,0,"2,194","2,885","3,079","1,887","2,980","1,767",131,"3,135","1,773","3,061","1,791",77
McCracken,"9,695","13,252",355,1,"14,244","8,714","14,311","8,700","13,730","8,097",804,"15,052","7,848","14,424","7,768",628
McCreary,"1,340","3,181",126,2,"3,616",900,"3,671",866,"3,561",759,118,"3,701",767,"3,528",791,121
McLean,"1,357","2,117",95,0,"2,220","1,304","2,361","1,162","2,188","1,159",85,"2,274","1,190","2,280","1,106",80
Meade,"3,984","4,787",246,0,"4,897","4,072","5,674","3,227","5,162","3,208",355,"5,865","2,948","5,551","2,968",313
Menifee,959,"1,113",44,0,"1,166",904,"1,209",874,"1,178",799,44,"1,266",771,"1,246",788,36
Mercer,"3,541","4,718",152,0,"5,070","3,283","5,568","2,751","5,735","2,322",188,"5,834","2,417","5,705","2,356",216
Metcalfe,"1,495","2,264",101,0,"2,253","1,403","2,486","1,209","2,202","1,099",124,"2,484","1,106","2,379","1,032",140
Monroe,837,"2,482",61,0,"2,710",592,"2,768",546,"2,716",437,51,"2,829",440,"2,835",445,35
Montgomery,"3,934","4,745",144,0,"5,023","3,753","5,410","3,328","5,281","3,108",213,"5,660","2,983","5,562","2,885",207
Morgan,"1,726","1,929",96,0,"2,098","1,589","2,170","1,544","2,138","1,381",76,"2,278","1,367","2,320","1,300",68
Muhlenberg,"4,019","4,551",160,2,"4,822","3,761","5,226","3,375","4,716","3,466",199,"4,989","3,463","4,842","3,444",172
Nelson,"7,387","7,511",331,0,"7,466","7,675","9,222","5,810","8,050","6,208",436,"9,171","5,706","8,424","5,845",531
Nicholas,"1,157","1,134",47,0,"1,118","1,201","1,329",943,"1,306",867,57,"1,402",851,"1,482",767,40
Ohio,"2,877","4,040",224,0,"4,521","2,556","4,866","2,182","4,613","2,078",226,"4,886","2,086","4,714","2,087",175
Oldham,"12,115","13,488",551,0,"13,893","12,139","16,306","9,549","14,854","9,557","1,115","16,751","8,942","15,864","8,647","1,087"
Owen,"1,419","2,195",68,0,"2,199","1,457","2,488","1,147","2,389","1,090",97,"2,530","1,071","2,747",846,63
Owsley,402,932,32,0,973,332,"1,006",316,997,230,22,"1,039",230,"1,003",226,22
Pendleton,"1,502","2,547",92,0,"2,448","1,637","2,894","1,151","2,745","1,117",131,"2,906","1,109","2,852","1,066",108
Perry,"3,183","3,855",114,0,"4,176","2,872","4,234","2,871","4,246","2,459",177,"4,516","2,465","4,286","2,515",165
Pike,"7,131","9,011",466,1,"9,527","6,604","9,425","7,018","9,492","5,751",458,"10,542","5,458","9,553","5,791",468
Powell,"1,791","1,997",78,0,"2,062","1,763","2,305","1,523","2,348","1,343",87,"2,388","1,386","2,239","1,462",104
Pulaski,"5,891","14,756",419,1,"15,786","5,154","16,382","4,597","16,233","3,933",485,"16,985","3,789","16,586","3,730",486
Robertson,325,430,16,0,390,380,475,289,451,290,20,478,285,487,267,14
Rockcastle,"1,354","3,481",102,1,"3,864","1,041","3,950",974,"3,949",776,86,"4,042",800,"4,026",768,77
Rowan,"4,045","2,744",129,0,"3,052","3,824","3,329","3,522","3,262","3,225",232,"3,576","3,200","3,436","3,125",198
Russell,"1,571","4,252",105,0,"4,553","1,344","4,728","1,194","4,662",998,113,"4,856",991,"4,826",941,105
Scott,"9,827","9,730",458,0,"10,795","9,070","11,784","8,031","11,565","7,228",708,"12,677","6,924","13,627","5,899",404
Shelby,"7,380","9,062",343,2,"8,783","7,936","10,641","5,945","9,684","6,106",564,"10,906","5,587","10,792","5,179",509
Simpson,"2,203","2,457",80,0,"2,702","1,975","2,819","1,862","2,690","1,767",140,"2,939","1,701","2,826","1,706",125
Spencer,"2,667","4,664",161,1,"4,565","2,906","5,337","2,079","4,974","2,041",278,"5,429","1,929","5,310","1,813",232
Taylor,"3,093","5,143",153,0,"4,973","3,347","5,922","2,372","5,647","2,298",185,"6,146","2,089","5,766","2,238",234
Todd,"1,037","1,713",80,0,"1,844",909,"1,888",864,"1,822",826,78,"1,910",822,"1,863",813,71
Trigg,"1,622","2,839",84,0,"2,990","1,523","3,059","1,435","2,992","1,363",117,"3,139","1,344","3,175","1,248",83
Trimble,"1,057","1,580",69,0,"1,499","1,189","1,760",912,"1,587",951,98,"1,743",899,"1,684",879,88
Union,"1,800","2,483",98,0,"2,605","1,706","2,764","1,535","2,540","1,542",124,"2,745","1,482","2,723","1,478",80
Warren,"18,249","17,118",558,0,"19,302","16,219","20,081","15,450","19,139","14,582","1,228","21,648","13,597","20,302","13,683","1,142"
Washington,"1,839","2,522",96,0,"2,427","2,000","2,895","1,479","2,986","1,311",82,"2,918","1,421","2,858","1,396",84
Wayne,"1,983","3,472",90,0,"3,858","1,597","4,028","1,453","4,032","1,214",92,"4,122","1,284","4,241","1,117",66
Webster,"1,495","2,271",90,0,"2,368","1,427","2,547","1,269","2,398","1,249",89,"2,461","1,305","2,482","1,237",67
Whitley,"2,995","6,672",218,0,"7,460","2,361","7,709","2,148","7,733","1,745",231,"7,983","1,768","7,809","1,726",221
Wolfe,"1,194",958,39,0,"1,049","1,108","1,050","1,107","1,075",978,43,"1,150",981,"1,147",956,36
Woodford,"6,235","5,277",227,0,"5,622","6,067","6,338","5,239","6,241","4,867",386,"6,899","4,634","7,158","4,106",316
