District,Barr,Cameron,Faris,Washington,Fredrick,Catlett,Duncan,Holliday,Shelley,Wenzel,Leon,Booker,McGrath,Stevenson,Romans,Forsythe,Thompson,Blanton
HD_19,"2,731","1,064",97,44,42,44,31,12,15,3,3,"1,008",920,97,30,68,30,25
HD_20,"1,670",701,52,17,36,31,19,14,7,0,6,"1,210",949,103,29,52,15,27
HD_21,"7,315","2,923",161,265,89,91,146,139,63,60,25,464,850,85,43,59,60,87
HD_22,"3,726","1,977",328,94,72,59,69,50,18,23,13,727,762,68,24,74,82,85
HD_23,"3,168","1,670",132,43,56,31,54,27,24,7,11,868,"1,041",110,54,89,46,47
HD_24,"3,122","2,859",318,74,50,61,63,40,22,13,16,705,947,113,105,110,95,51
HD_25,"1,229","1,580",157,26,28,46,24,19,11,5,4,"1,221","1,008",168,108,83,48,42
HD_26,"1,927","1,245",83,36,36,33,26,15,18,6,7,713,807,110,133,67,48,40
HD_27,"1,831","1,503",125,49,48,53,26,18,18,6,7,884,"1,063",199,110,109,46,44
HD_28,"1,501",761,37,29,38,35,19,42,9,4,7,"2,077","1,329",228,281,53,47,65
HD_29,"2,242","1,408",57,28,46,64,18,48,11,9,7,"2,923","1,555",231,255,81,40,50
HD_30,434,324,18,10,22,21,5,12,5,2,4,"2,941","1,133",352,144,60,49,60
HD_31,"2,110","1,566",38,33,38,86,23,35,9,9,11,"2,954","1,956",219,352,83,45,50
HD_32,"1,548","1,213",41,40,51,86,17,39,16,12,8,"3,674","2,136",284,272,106,38,51
HD_33,"2,618","2,552",60,62,70,74,28,50,20,9,6,"2,407","1,814",214,270,98,30,37
HD_34,"1,523","1,156",37,36,49,76,20,40,12,6,8,"5,356","2,916",330,554,139,41,50
HD_35,919,478,26,27,28,30,17,26,7,3,3,"1,930",908,157,212,62,58,48
HD_36,"2,827","2,040",42,44,71,83,26,36,19,7,10,"2,645","1,551",246,246,100,22,41
HD_37,"1,490",772,44,24,23,49,14,33,8,4,7,"1,815","1,000",160,172,57,39,49
HD_38,"1,186",663,43,16,22,23,18,25,11,8,7,"2,293","1,279",220,260,49,41,59
HD_39,"2,597",882,73,36,54,61,31,30,18,11,8,"1,770","1,213",318,139,95,33,44
