County,Trump,Uncommitted_R,Biden,Sanders,Uncommitted_D,Warren,Buttigieg,Yang,Gabbard,Klobuchar,Steyer,Bennet,Patrick,McConnell,Morgan,Grider,Frangedakis,James,Lowndes,Alsager,McGrath,Booker,Broihier,Tobin,Hilliard,Maynard,Smith,Ausbrooks,Rothmuller,Sharpensteen
Perry,"1,363",95,"1,263",255,455,50,46,43,43,19,23,19,15,"1,246",90,31,21,26,10,6,"1,016",836,210,41,61,76,45,9,23,23
Pike,"3,724",168,"2,661",547,"1,650",112,87,98,91,62,47,50,25,"3,402",119,54,49,79,45,15,"2,791","1,661",168,146,198,295,140,30,50,59
Powell,877,76,844,154,244,41,17,26,20,22,14,18,9,791,45,14,13,13,35,6,778,385,161,33,28,46,15,8,27,22
Pulaski,"12,136","1,132","2,055",393,324,58,29,31,21,21,16,13,3,"11,074",597,409,154,297,184,62,"1,602","1,038",191,31,31,56,22,10,14,17
Robertson,113,6,169,33,97,14,7,8,10,10,5,2,1,108,3,2,0,1,1,0,173,77,40,13,6,28,12,2,13,7
Rockcastle,"3,181",282,352,91,62,13,9,11,2,3,1,2,1,"2,947",206,75,50,60,25,16,275,189,52,5,4,9,6,2,3,2
Rowan,"1,395",208,"2,069",409,410,96,47,49,30,33,26,15,13,"1,293",112,28,38,48,15,7,"1,645","1,121",246,47,64,86,29,19,14,17
Russell,"3,604",285,473,65,102,17,12,8,4,12,4,7,1,"3,189",225,128,54,41,26,59,397,212,67,25,6,10,9,7,6,3
Scott,"4,893","1,076","5,241",800,722,202,150,124,90,84,36,25,13,"4,557",452,135,203,155,218,58,"3,842","2,922",501,92,62,75,32,15,67,30
Shelby,"5,216",874,"4,116",622,700,172,114,78,57,75,23,28,8,"4,915",307,290,182,146,67,27,"2,771","2,487",400,121,107,54,38,27,38,31
Simpson,"1,157",107,"1,267",166,248,45,19,23,23,28,13,13,4,971,145,25,33,24,7,18,787,781,73,46,33,19,29,92,6,18
Spencer,"2,678",239,"1,267",202,323,37,43,33,26,28,12,19,4,"2,439",134,129,54,39,24,17,965,700,180,49,34,28,23,19,13,17
Taylor,"3,148",328,"1,391",242,299,48,38,31,19,37,11,12,3,"2,869",169,126,42,50,29,98,"1,005",828,152,66,29,28,51,26,1,17
Todd,550,36,565,72,272,26,22,22,16,23,20,11,2,474,38,17,12,4,6,10,459,309,49,59,27,32,29,37,15,21
Trigg,"1,355",106,910,89,229,36,17,20,21,24,7,15,3,"1,208",99,24,36,21,13,16,676,371,70,113,27,26,36,25,6,17
Trimble,610,50,607,101,307,30,30,24,27,9,15,18,15,540,36,29,9,16,8,4,614,246,138,48,34,38,35,11,21,14
Union,615,31,894,138,523,34,42,34,22,29,15,12,3,540,43,14,9,11,4,7,929,386,82,109,44,26,46,49,12,23
Warren,"8,834","1,688","9,337","2,111","1,063",420,193,188,140,131,49,55,27,"8,399",545,293,370,286,83,83,"5,961","6,784",303,182,155,43,106,207,40,60
Washington,944,92,"1,063",113,256,38,36,29,20,30,13,19,5,857,46,43,32,11,6,8,836,539,159,36,15,18,33,18,8,14
Wayne,"3,409",259,747,94,120,15,13,8,6,8,5,11,6,"2,977",204,103,43,57,72,15,676,235,74,16,11,22,15,8,4,4
Webster,574,43,826,127,436,26,28,33,26,25,15,10,5,501,51,13,11,11,5,4,856,339,71,92,22,26,39,56,14,20
Whitley,"6,484",663,825,140,144,27,10,18,6,6,9,5,5,"5,774",464,137,114,139,121,41,734,327,63,10,13,17,12,7,7,12
Wolfe,155,10,521,82,221,13,8,22,24,15,11,11,7,151,7,0,2,2,3,0,477,251,146,16,13,37,14,6,11,9
Woodford,"2,438",639,"3,503",473,635,141,110,89,67,60,44,20,19,"2,364",182,105,134,91,67,22,"2,514","1,958",399,92,62,72,38,21,56,34
