County,Paul,Booker,Write-in,Amt1yes,Amt1no,Amt2yes,Amt2no
Pike,"11,667","4,067",1,"6,211","6,547","8,840","5,438"
Powell,"2,503","1,089",0,"1,558","1,778","1,809","1,676"
Pulaski,"17,000","4,177",0,"11,104","7,408","14,281","6,285"
Robertson,684,295,0,465,378,485,437
Rockcastle,"4,020",761,0,"2,227","1,599","3,372","1,193"
Rowan,"4,235","3,180",1,"2,776","3,768","3,028","4,100"
Russell,"5,422",985,0,"3,251","2,174","4,144","1,818"
Scott,"12,302","8,198",3,"8,309","10,042","8,386","11,521"
Shelby,"11,606","6,194",6,"7,818","8,169","8,226","9,035"
Simpson,"3,975","1,763",0,"2,738","2,259","3,065","2,424"
Spencer,"5,844","1,889",1,"3,553","3,489","4,081","3,489"
Taylor,"6,751","2,244",1,"4,282","3,299","5,422","3,095"
Todd,"2,681",814,0,"1,786","1,147","2,118","1,141"
Trigg,"4,057","1,396",2,"2,607","2,148","3,116","2,058"
Trimble,"2,394",795,1,"1,313","1,402","1,548","1,457"
Union,"3,688","1,193",0,"2,190","1,945","2,728","1,871"
Warren,"22,951","15,403",4,"16,727","17,678","16,644","20,581"
Washington,"3,492","1,464",0,"2,232","2,089","2,891","1,865"
Wayne,"5,021","1,310",0,"2,963","2,130","3,897","1,924"
Webster,"3,158","1,054",0,"1,989","1,577","2,357","1,603"
Whitley,"8,221","1,822",0,"4,972","3,705","6,594","3,074"
Wolfe,"1,400",853,0,976,"1,009","1,169","1,022"
Woodford,"6,227","5,023",1,"3,871","6,380","4,227","6,742"
