County,Trump,Harris,Kennedy,Stein,Oliver,Ayyadurai,Write-in,Amdt1yes,Amdt1no,Amdt2yes,Amdt2no
Owsley,"1,625",203,8,0,2,1,0,868,600,622,976
Pendleton,"5,593","1,210",56,21,16,4,0,"4,516","2,001","2,292","4,382"
Perry,"7,913","1,966",71,21,18,3,0,"5,734","3,208","2,955","6,493"
Pike,"19,684","4,025",161,34,33,9,4,"13,817","8,054","6,901","15,652"
Powell,"4,092","1,174",63,13,13,5,0,"3,294","1,684","1,640","3,518"
Pulaski,"26,051","5,351",177,65,72,9,10,"20,686","8,616","11,367","19,212"
Robertson,915,215,12,1,0,1,0,689,347,279,802
Rockcastle,"6,635",986,56,26,16,5,0,"5,107","2,062","2,701","4,766"
Rowan,"6,224","3,484",100,33,28,3,1,"5,456","3,648","3,066","6,528"
Russell,"7,622","1,200",44,6,16,5,0,"5,524","2,591","3,092","5,239"
Scott,"18,747","10,501",291,95,115,12,8,"18,800","9,476","9,976","19,209"
Shelby,"16,356","7,822",247,81,88,13,13,"15,396","7,922","10,069","13,933"
Simpson,"6,253","2,403",72,19,26,3,0,"5,501","2,797","3,137","5,420"
Spencer,"8,927","2,415",81,20,32,4,1,"7,804","3,129","4,701","6,458"
Taylor,"9,523","2,576",113,22,17,5,5,"7,903","3,470","4,208","7,672"
Todd,"4,009","1,051",24,11,17,0,0,"3,008","1,668","1,760","3,001"
Trigg,"5,436","1,667",62,11,16,4,0,"4,559","2,198","2,498","4,475"
Trimble,"3,283",923,28,9,6,0,0,"2,628","1,307","1,527","2,592"
Union,"4,758","1,225",51,11,8,5,0,"3,605","1,998","1,951","3,886"
Warren,"34,862","21,065",499,209,200,25,31,"34,170","19,975","19,033","36,863"
Washington,"4,720","1,533",51,16,16,2,3,"3,927","1,887","2,374","3,747"
Wayne,"7,203","1,444",60,14,10,2,0,"5,272","2,570","2,773","5,415"
Webster,"4,339","1,153",37,17,9,1,0,"3,300","1,824","1,672","3,627"
Whitley,"12,687","2,237",93,19,32,7,0,"9,794","4,268","5,080","9,328"
Wolfe,"2,163",689,30,15,12,6,0,"1,440",955,921,"1,853"
Woodford,"8,419","6,282",144,60,69,10,9,"8,493","5,796","4,907","9,849"
