County,Beshear,Adkins,Edelen,Young,Bevin,Goforth,Woods,Lawrence,Henry,Belcher,Griffith,Sebesta,Adams,English,Knipper,Nett,Cameron,Schroder,Donahue,Coots,Tobe,Bowman,Mers,Conway,Trigg,Quarles,Polyniak
Lewis,22,403,20,4,421,503,140,38,294,52,41,16,375,240,160,194,378,626,89,74,51,191,146,231,123,838,158
Lincoln,397,688,346,35,890,731,63,40,915,257,175,37,886,305,235,151,"1,063",578,350,488,145,936,315,919,370,"1,323",295
Livingston,412,390,259,44,339,112,13,10,442,375,171,44,236,97,50,44,238,186,360,269,111,703,241,725,272,343,92
Logan,670,597,328,57,519,349,36,17,868,349,276,52,331,264,128,99,434,406,479,530,174,977,419,902,573,680,178
Lyon,457,463,215,31,302,114,20,9,503,273,246,38,207,108,57,44,227,187,332,300,123,693,276,655,354,326,96
Madison,"2,954","3,086","2,002",165,"2,988","2,976",164,149,"5,553",748,"1,219",321,"2,310","1,544","1,176",651,"3,309","2,591","2,727","2,143","1,171","4,312","2,860","4,049","3,238","5,064",783
Magoffin,109,"1,439",79,8,218,395,38,22,749,389,268,40,352,96,99,54,406,213,281,537,202,999,292,"1,061",278,470,135
Marion,575,884,847,30,249,125,30,13,"1,695",280,210,28,174,95,56,45,255,132,814,603,203,"1,393",441,"1,290",667,284,96
Marshall,"1,458","1,425",822,149,"1,203",385,65,43,"1,773",859,793,109,711,415,246,165,839,707,"1,205",884,343,"2,460",868,"2,297",974,"1,248",303
Martin,44,138,20,3,327,559,29,14,82,50,48,10,436,198,101,83,470,360,51,73,23,135,49,137,47,542,265
Mason,329,894,307,76,351,170,56,15,"1,407",65,94,24,214,102,96,108,184,368,412,316,207,652,565,829,462,501,55
McCracken,"2,519","1,227","1,605",164,"2,656",695,106,85,"2,836","1,039","1,039",202,"1,645",734,516,290,"1,500","1,711","1,864","1,386",550,"3,294","1,382","3,131","1,721","2,641",580
McCreary,121,77,57,9,465,778,23,18,146,50,36,9,572,230,185,73,721,398,82,87,22,154,70,149,85,832,271
McLean,399,220,186,18,248,170,29,8,483,152,126,25,177,114,58,64,264,154,261,274,73,547,167,502,236,335,87
Meade,635,347,"1,570",33,811,492,113,41,"1,947",191,279,51,501,405,266,172,803,585,998,541,316,"1,366",792,"1,209","1,015","1,143",213
