District,Paul,Booker,Write-in,Amt1yes,Amt1no,Amt2yes,Amt2no
HD_48,"11,534","11,505",3,"7,976","12,160","6,831","15,349"
HD_49,"9,881","3,725",2,"6,054","6,227","6,680","6,593"
HD_50,"11,205","5,787",1,"6,714","7,814","8,037","8,253"
HD_51,"10,533","4,356",3,"6,540","6,098","8,493","5,629"
HD_52,"11,712","2,727",0,"7,066","4,860","9,316","4,211"
HD_53,"12,531","4,580",1,"7,405","8,133","9,094","7,641"
HD_54,"10,700","4,772",2,"6,883","6,781","8,171","6,715"
HD_55,"11,451","4,676",0,"7,139","6,812","8,685","6,758"
HD_56,"10,680","7,866",1,"6,624","10,303","7,657","10,487"
HD_57,"7,394","8,779",3,"4,157","11,083","5,034","10,806"
HD_58,"10,845","5,927",6,"7,303","7,760","7,666","8,596"
HD_59,"10,970","7,044",2,"7,607","8,659","7,450","10,299"
HD_60,"11,088","5,632",2,"7,735","7,141","8,212","8,117"
HD_61,"11,535","3,450",5,"7,015","6,173","8,318","6,121"
HD_62,"9,901","6,292",3,"6,584","7,875","6,782","8,918"
HD_63,"7,626","5,219",0,"5,661","5,576","5,611","6,840"
HD_64,"8,447","5,083",1,"6,218","5,812","6,129","7,070"
HD_65,"6,571","6,141",3,"5,292","5,991","5,046","7,368"
HD_66,"11,163","4,942",6,"7,384","6,892","8,020","7,692"
HD_67,"6,772","7,080",2,"4,820","7,072","4,589","8,723"
HD_68,"12,019","7,037",1,"7,860","8,371","8,589","9,735"
HD_69,"6,223","4,125",0,"4,478","4,607","4,612","5,378"
HD_70,"11,665","5,008",5,"7,563","7,054","8,183","7,700"
HD_71,"9,383","3,205",0,"6,088","4,933","7,765","4,473"
HD_72,"9,833","4,507",8,"5,973","6,427","6,289","7,203"
HD_73,"9,773","5,940",4,"6,330","7,816","7,037","8,185"
HD_74,"10,565","4,917",2,"6,726","6,843","7,981","6,785"
HD_75,"3,989","8,131",3,"2,851","8,288","2,638","9,218"
HD_76,"5,341","9,972",3,"3,677","10,313","3,291","11,643"
HD_77,"2,863","9,225",10,"2,946","8,028","2,374","9,263"
HD_78,"11,086","3,613",1,"7,146","5,894","8,199","6,049"
HD_79,"4,767","8,711",4,"3,411","9,013","2,870","10,351"
HD_80,"10,712","3,137",1,"6,902","5,518","8,458","4,994"
HD_81,"9,295","4,907",0,"6,953","6,589","7,043","7,027"
HD_82,"9,598","2,086",1,"5,926","4,271","7,772","3,520"
HD_83,"12,930","2,328",0,"8,101","5,113","10,357","4,159"
HD_84,"8,964","3,809",0,"5,519","4,934","6,885","4,662"
HD_85,"11,385","2,946",0,"7,641","5,077","9,440","4,510"
HD_86,"8,808","1,991",4,"5,464","3,739","7,188","2,976"
HD_87,"9,783","2,338",0,"5,581","3,670","7,485","3,371"
HD_88,"8,413","8,227",8,"5,710","9,323","5,402","10,789"
HD_89,"10,865","3,151",0,"7,342","5,372","9,046","4,726"
HD_90,"10,435","1,893",1,"6,923","4,167","8,230","3,705"
HD_91,"8,642","4,354",0,"5,769","6,035","6,293","6,225"
HD_92,"10,789","4,347",0,"6,490","6,361","8,958","5,258"
HD_93,"6,132","8,439",4,"4,428","8,910","4,258","9,984"
HD_94,"9,345","3,420",0,"5,677","5,072","7,571","4,361"
HD_95,"9,512","4,884",2,"6,601","6,380","7,952","6,026"
HD_96,"10,433","3,523",1,"5,923","5,561","7,669","5,285"
HD_97,"9,009","2,094",0,"5,456","4,379","7,079","3,471"
HD_98,"10,861","4,806",0,"6,697","6,413","7,845","6,752"
HD_99,"8,535","4,965",1,"5,778","6,193","6,711","6,299"
HD_100,"8,906","4,407",0,"5,636","5,533","6,809","5,754"
Kenton_AB,"1,186","1,426",0,924,"1,212",929,"1,540"
Laurel_AB,654,325,0,385,392,469,422
Madison_AB,881,"1,055",0,594,"1,092",615,"1,213"
Madison_Missing,1,0,6,0,0,0,0
Fayette_PROV,0,2,0,0,0,0,0
