County,Bevin,Conway,Curtis,Write-in,Grimes,Knipper,Beshear,Westerfield,Harmon,Edelen,Ball,Nelson,Quarles,Spann
Johnson,"3,040","1,432",177,0,"1,742","2,822","1,710","2,832","3,020","1,379","3,392","1,143","3,249","1,200"
Kenton,"18,007","12,301","1,145",4,"12,823","18,415","14,376","16,497","19,031","11,094","20,127","10,321","19,149","10,912"
Knott,"1,612","1,141",132,0,"1,483","1,309","1,411","1,360","1,192","1,480","1,386","1,400","1,458","1,237"
Knox,"3,706","1,634",163,2,"2,128","3,269","1,847","3,518","3,535","1,675","3,794","1,530","3,952","1,329"
Larue,"2,009","1,214",137,3,"1,481","1,858","1,443","1,862","1,810","1,427","2,121","1,152","2,204","1,054"
Laurel,"8,781","2,663",345,2,"3,565","8,046","3,113","8,457","8,524","2,790","9,253","2,195","9,205","2,230"
Lawrence,"1,616",973,66,1,"1,140","1,472","1,174","1,422","1,539",988,"1,570",998,"1,567",961
Lee,"1,042",422,72,0,603,892,504,978,944,500,"1,068",405,"1,085",375
Leslie,"1,654",431,51,0,473,"1,602",416,"1,626","1,627",381,"1,646",410,"1,713",312
Letcher,"2,360","1,775",183,0,"2,109","2,057","2,102","1,992","1,898","2,021","2,107","1,956","2,251","1,649"
Lewis,"1,833",584,75,0,804,"1,602",731,"1,655","1,757",602,"1,834",500,"1,816",510
Lincoln,"3,289","1,626",195,0,"2,323","2,695","1,976","3,021","3,073","1,849","3,493","1,456","3,382","1,552"
Livingston,"1,340",927,64,0,"1,074","1,240","1,078","1,220","1,266",992,"1,431",850,"1,461",798
Logan,"2,345","1,565",99,0,"1,840","2,135","1,517","2,437","2,281","1,525","2,359","1,516","2,510","1,356"
Lyon,"1,208","1,043",58,0,"1,197","1,099","1,169","1,123","1,107","1,099","1,306",944,"1,397",834
Madison,"10,268","7,348",764,14,"9,235","9,063","8,424","9,728","9,283","8,629","11,543","6,411","11,347","6,604"
Magoffin,"1,229",987,66,0,"1,130","1,123","1,111","1,146","1,058","1,131","1,270",975,"1,297",925
Marion,"1,591","2,132",139,1,"2,551","1,257","2,382","1,395","1,243","2,481","1,794","1,917","1,715","1,963"
Marshall,"5,969","4,830",409,2,"5,495","5,595","5,572","5,461","5,580","5,008","6,409","4,424","6,691","3,983"
Martin,"1,268",419,44,0,541,"1,148",534,"1,138","1,267",370,"1,333",332,"1,296",337
Mason,"1,792","1,531",95,0,"1,881","1,513","1,731","1,605","1,581","1,676","1,866","1,387","1,924","1,321"
McCracken,"9,028","6,031",394,0,"6,762","8,580","6,870","8,399","8,636","6,225","9,873","5,232","9,781","5,140"
McCreary,"1,362",648,72,1,739,"1,302",612,"1,437","1,431",550,"1,550",458,"1,517",464
McLean,"1,364",984,63,0,"1,207","1,178","1,251","1,123","1,240","1,066","1,282","1,046","1,382",915
Meade,"3,310","2,838",296,0,"3,396","2,992","3,371","2,944","2,590","3,693","3,640","2,558","3,135","3,124"
Menifee,"1,160",897,107,0,"1,260",856,"1,074",991,877,"1,066","1,045",933,969,981
Mercer,"3,517","2,054",269,0,"2,658","3,123","2,398","3,358","3,419","2,276","3,915","1,758","3,894","1,764"
Metcalfe,"1,344",888,95,0,"1,055","1,250","1,031","1,257","1,289",892,"1,470",785,"1,492",722
Monroe,"1,642",721,76,0,687,"1,673",666,"1,696","1,805",436,"1,875",437,"1,962",392
Montgomery,"3,271","2,479",240,0,"3,285","2,638","2,884","2,982","2,699","3,049","3,520","2,248","3,542","2,189"
Morgan,"1,355","1,009",103,0,"1,237","1,164","1,158","1,235","1,069","1,241","1,339","1,014","1,443",925
Muhlenberg,"3,613","3,453",262,0,"4,047","3,175","4,078","3,077","3,191","3,646","3,241","3,718","3,461","3,388"
Nelson,"4,902","4,880",356,4,"5,614","4,439","5,363","4,572","4,430","5,361","5,734","4,084","5,236","4,488"
Nicholas,563,857,54,0,978,474,864,589,561,859,752,677,799,635
Ohio,"3,115","2,000",128,1,"2,390","2,784","2,370","2,772","3,034","1,900","3,257","1,781","3,243","1,721"
Oldham,"10,896","6,403",699,0,"7,379","10,494","7,351","10,342","10,578","6,790","12,674","4,809","11,946","5,398"
Owen,"1,444","1,000",130,0,"1,202","1,342","1,218","1,315","1,386","1,066","1,544",944,"1,846",683
Owsley,580,220,23,2,296,514,253,543,542,226,597,186,605,182
Pendleton,"1,567",936,112,0,"1,058","1,545","1,172","1,415","1,609",918,"1,612",948,"1,671",891
Perry,"3,276","1,857",151,0,"2,588","2,560","2,349","2,736","2,422","2,504","2,917","2,105","2,961","1,959"
Pike,"6,146","4,741",336,1,"5,494","5,554","5,780","5,115","5,438","5,113","6,003","4,820","5,999","4,578"
Powell,"1,335","1,110",99,0,"1,421","1,073","1,299","1,197","1,126","1,303","1,405","1,055","1,333","1,114"
