County,Conway,Young,Bevin,Comer,Heiner,Scott,Grimes,Lovett,Westerfield,Hogan,Nelson,Blakemore,Henderson,Glenn,Grossberg,Ball,Larson,Imes,Quarles,Heath
Larue,586,291,176,228,122,36,521,373,317,193,196,157,174,171,115,220,146,139,307,205
Laurel,554,116,"1,074","2,136","2,575",364,555,115,"3,208","2,112",273,100,129,62,34,"1,979","1,636","1,444","1,907","3,415"
Lawrence,408,105,261,68,202,147,382,141,175,504,211,45,116,80,40,314,132,149,211,372
Lee,161,42,119,201,132,49,137,62,195,255,77,34,49,22,11,141,140,155,146,309
Leslie,55,21,221,352,531,128,55,21,535,495,42,1,21,7,2,446,256,320,400,667
Letcher,750,226,170,164,186,170,613,370,265,327,525,102,174,73,55,226,173,191,199,405
Lewis,138,46,294,385,133,141,150,31,500,294,43,33,49,18,21,480,145,166,477,339
Lincoln,534,142,387,449,355,61,509,168,602,503,196,154,144,84,51,401,423,253,466,673
Livingston,394,161,130,106,16,8,304,242,87,138,147,134,74,107,42,90,61,70,82,152
Logan,656,175,273,173,127,26,588,252,465,101,236,156,147,157,61,234,156,105,270,247
Lyon,517,126,123,147,20,12,423,227,124,139,192,169,98,74,45,108,64,90,83,186
Madison,"2,178",732,"1,195","1,617",869,226,"2,174",760,"1,890","1,511",681,848,416,388,284,"1,338","1,536",513,"1,852","1,653"
Magoffin,410,184,47,170,102,108,408,182,125,257,233,66,161,56,38,152,103,124,148,250
Marion,843,206,113,94,53,26,832,206,124,124,262,271,181,134,76,133,58,54,116,140
Marshall,"4,032",984,684,596,125,65,"3,072","2,040",568,731,"1,384",938,"1,217",507,252,485,262,576,348,994
Martin,108,32,148,56,289,167,106,34,185,429,70,9,28,16,11,317,125,167,204,409
Mason,568,179,148,191,103,42,587,177,194,207,196,123,152,112,63,209,106,83,252,168
McCracken,"1,818",582,993,"1,181",300,103,"1,586",848,"1,010","1,115",590,707,376,349,183,874,477,818,539,"1,780"
McCreary,119,46,252,377,211,79,117,52,441,369,43,22,31,34,17,323,193,292,284,545
McLean,382,102,144,136,41,16,325,169,172,123,100,51,40,269,18,125,86,71,121,165
Meade,"1,549",485,508,222,309,84,"1,418",648,559,437,471,345,403,303,184,487,278,223,496,494
Menifee,279,126,30,16,28,112,276,147,79,73,55,71,208,30,23,49,62,40,69,91
Mercer,823,296,330,484,190,43,747,379,553,350,212,287,209,213,81,378,307,205,571,378
Metcalfe,316,104,86,649,42,9,303,128,320,288,102,77,98,64,41,301,154,140,288,376
Monroe,88,18,95,"3,147",59,11,93,21,979,"1,339",27,26,23,12,10,"1,274",505,384,"1,145","1,341"
Montgomery,"1,029",349,230,242,137,89,993,401,347,258,150,287,758,134,68,261,276,76,296,332
Morgan,550,218,49,41,34,24,466,317,54,85,227,93,302,85,27,56,46,38,51,91
Muhlenberg,"1,356",250,276,212,109,32,"1,195",439,307,247,537,269,162,438,103,227,170,141,225,316
Nelson,"1,647",427,647,380,368,74,"1,502",571,667,544,577,413,380,278,219,575,330,304,665,573
Nicholas,410,99,35,41,25,9,382,116,57,42,135,119,106,68,38,42,44,14,60,41
Ohio,"1,531",264,623,394,187,70,"1,355",454,611,499,303,189,200,767,94,617,304,197,430,699
Oldham,"1,407",316,"2,254","1,129","1,971",353,"1,373",348,"2,632","2,076",348,587,234,165,193,"2,718","1,201",797,"2,566","2,066"
Owen,511,279,174,155,59,18,487,309,166,175,226,111,177,122,80,161,99,85,311,66
Owsley,82,23,62,173,69,43,68,35,100,187,43,9,24,12,6,96,112,73,118,180
Pendleton,361,163,266,137,66,25,313,216,230,207,156,58,151,71,51,200,117,106,235,204
Perry,915,244,201,196,227,138,773,389,298,368,561,113,205,140,81,268,199,193,230,451
Pike,"1,989",619,276,133,182,"1,176","1,694",965,435,973,"1,322",183,459,409,152,642,413,357,475,934
Powell,642,171,91,115,74,73,601,200,155,158,92,104,553,32,33,109,129,72,137,179
Pulaski,789,140,"2,231","2,467","1,546",618,742,189,"2,827","3,028",232,189,216,131,68,"2,340","1,884","1,576","2,411","3,649"
Robertson,114,55,20,17,6,6,97,74,22,23,72,28,30,16,12,16,26,5,29,18
Rockcastle,152,18,295,"1,034",353,71,143,30,748,733,37,57,30,19,13,497,530,428,581,978
Rowan,832,181,168,187,173,112,823,200,259,287,266,221,214,126,79,231,185,126,226,334
Russell,260,65,457,"1,453",397,93,265,67,"1,187",862,82,71,62,43,30,"1,062",541,408,"1,049","1,103"
Scott,"1,648",461,996,855,507,203,"1,586",562,"1,279",913,444,469,376,404,204,"1,007",900,271,"2,163",329
Shelby,"1,673",521,"1,238",713,"1,039",168,"1,567",622,"1,461","1,150",490,584,348,246,304,"1,491",614,526,"1,748",951
Simpson,436,144,204,176,35,13,422,165,209,155,117,143,125,98,38,183,84,87,148,218
Spencer,540,206,556,237,338,59,479,266,570,444,151,195,145,113,59,534,253,228,600,415
Taylor,701,131,422,"1,247",378,86,641,188,"1,013",784,204,205,147,103,77,"1,038",372,419,818,"1,025"
Todd,339,107,75,60,32,15,260,192,139,40,122,72,84,90,45,82,35,50,87,87
Trigg,485,123,170,275,59,30,411,207,393,116,257,87,87,81,55,135,69,297,186,294
Trimble,339,138,92,37,58,12,294,187,97,72,158,105,122,41,27,94,38,40,98,65
Union,609,197,82,25,36,6,523,274,63,73,182,121,153,185,62,60,42,28,65,70
Warren,"2,999","1,096","1,722","2,728",899,202,"2,855","1,289","2,704","1,857",815,913,870,719,313,"2,030","1,494","1,042","2,755","1,973"
Washington,450,158,150,171,106,19,413,185,226,153,140,109,108,117,47,160,126,88,234,150
Wayne,330,57,256,667,287,82,315,70,686,439,115,78,78,43,19,598,278,249,673,502
Webster,537,209,67,60,29,3,473,283,72,73,209,135,131,177,65,72,32,33,53,90
Whitley,309,56,644,"1,461",815,193,279,84,"1,467","1,201",110,77,60,46,26,"1,191",800,625,"1,253","1,493"
Wolfe,390,145,19,30,14,9,385,151,42,23,60,56,381,25,18,20,24,16,36,30
Woodford,"1,596",489,574,558,323,119,"1,533",566,768,578,470,496,308,379,184,638,598,154,887,526
