District,Beshear/Coleman,Cameron/Mills,Fishback/Fishback,Adams,Wheatley,Moellman,Coleman,Stevenson,Ball,Reeder,Metcalf,Bowman,Perry,Shell,Enlow
HD_05,"5,943","7,463",0,"8,978","4,226",1,"8,563","4,645","8,920","4,260","8,415","4,710",1,"8,846","4,315"
HD_06,"6,276","9,280",1,"11,077","4,192",6,"10,846","4,490","11,228","4,056","10,461","4,731",2,"11,064","4,168"
HD_07,"7,428","6,674",0,"8,099","5,648",2,"8,010","5,809","7,985","5,656","7,680","5,989",3,"8,188","5,491"
HD_08,"4,804","6,275",1,"7,278","3,626",0,"6,996","3,899","7,254","3,604","6,920","3,940",0,"7,225","3,643"
HD_09,"2,409","3,297",1,"3,679","1,929",3,"3,514","2,084","3,586","1,999","3,501","2,070",3,"3,599","1,959"
HD_10,"6,217","7,850",0,"9,413","4,430",8,"9,297","4,590","9,633","4,209","9,059","4,703",3,"9,421","4,385"
HD_11,"7,048","5,589",1,"6,931","5,356",1,"6,964","5,361","6,914","5,316","6,759","5,446",0,"7,141","5,099"
HD_12,"5,243","7,530",0,"8,796","3,692",0,"8,765","3,744","8,745","3,648","8,482","3,906",0,"8,914","3,522"
HD_13,"6,598","5,899",2,"7,138","5,068",2,"7,041","5,207","7,028","5,075","6,784","5,339",1,"7,138","4,964"
HD_14,"5,489","7,660",0,"8,862","3,964",3,"8,940","3,947","8,872","3,882","8,598","4,157",2,"9,059","3,732"
HD_15,"5,006","6,894",0,"8,099","3,524",0,"8,047","3,602","7,958","3,574","7,751","3,769",1,"8,147","3,410"
HD_16,"3,597","6,640",5,"7,368","2,713",2,"7,341","2,762","7,359","2,691","7,141","2,887",1,"7,359","2,687"
HD_17,"5,898","5,486",1,"6,725","4,452",14,"6,461","4,766","6,777","4,393","6,372","4,745",0,"6,723","4,458"
HD_18,"4,728","7,810",1,"9,304","3,012",3,"9,175","3,170","9,363","2,921","8,854","3,370",2,"9,157","3,130"
