District,Trump,Haley,Uncommitted_R,DeSantis,Christie,Ramaswamy,Binkley,Biden,Uncommitted_D,Williamson,Phillips
HD_51,"1,809",67,44,35,14,6,6,"1,164",743,167,206
HD_52,"3,199",98,68,56,21,11,12,321,85,30,22
HD_53,"4,264",212,193,174,35,31,20,"1,256",554,192,168
HD_54,"2,540",151,119,49,25,13,8,809,210,54,69
HD_55,"2,329",129,86,68,22,10,15,943,379,98,100
HD_56,"2,357",378,164,141,55,37,16,"2,808",794,248,183
HD_57,"2,152",247,129,100,33,21,18,"4,549","1,483",424,321
HD_58,"4,108",319,251,250,45,38,23,"1,239",398,149,150
HD_59,"2,567",378,163,138,38,25,13,"1,144",160,75,48
HD_60,"3,334",370,178,197,46,46,12,669,108,60,23
HD_61,"2,960",144,97,114,25,23,5,532,213,74,50
HD_62,"3,403",337,244,200,48,47,9,"1,983",480,179,154
HD_63,"1,695",256,100,87,42,23,4,751,125,60,25
HD_64,"2,491",248,138,109,30,21,6,829,162,60,35
HD_65,"1,537",241,96,82,37,33,12,"1,052",191,44,23
HD_66,"3,800",321,172,220,43,53,12,607,144,73,33
HD_67,"1,297",170,94,61,17,16,4,933,174,82,40
HD_68,"2,544",330,125,112,41,53,8,996,192,69,40
HD_69,"1,863",155,98,80,25,31,6,682,128,77,35
HD_70,"1,976",96,67,72,18,18,5,975,491,172,177
HD_71,"2,895",100,59,79,25,14,13,571,127,47,24
HD_72,"1,772",111,66,63,19,14,10,"1,010",467,145,134
HD_73,"1,504",132,62,62,14,9,10,"1,174",293,105,69
HD_74,"1,704",69,33,56,7,10,5,"1,023",510,167,143
HD_75,702,128,70,43,22,6,5,"1,963",315,140,46
HD_76,863,196,85,38,18,14,6,"3,327",483,170,64
HD_77,521,100,65,47,23,14,13,"2,928",275,167,57
HD_78,"2,685",143,76,104,22,18,5,494,190,73,51
HD_79,670,206,80,60,13,15,3,"2,069",299,126,51
HD_80,"3,136",148,109,97,29,13,6,512,172,60,44
HD_81,"1,730",162,77,86,16,13,4,"1,009",179,64,45
HD_82,"2,704",92,78,50,25,15,9,214,37,24,15
HD_83,"4,371",165,120,66,45,13,9,284,74,39,44
HD_84,"1,366",35,28,33,12,7,4,557,482,130,151
HD_85,"3,506",188,125,100,31,12,20,376,87,48,28
HD_86,"4,365",135,103,71,42,24,13,304,114,48,55
HD_87,"3,450",77,79,59,18,5,9,427,237,42,74
HD_88,"1,673",288,138,89,48,27,12,"1,904",294,121,66
HD_89,"3,407",123,74,71,27,4,10,454,246,62,59
HD_90,"4,698",188,133,99,28,20,11,214,78,13,24
HD_91,"2,861",127,87,79,16,13,5,886,367,88,102
HD_92,"2,051",38,22,24,3,5,6,865,861,166,296
HD_93,"1,129",224,115,90,21,29,20,"2,312",318,119,48
HD_94,"2,113",35,44,22,11,9,4,579,418,76,153
HD_95,"1,479",27,22,38,7,4,3,840,804,158,273
HD_96,"2,867",96,76,64,18,16,6,557,276,95,96
HD_97,"3,076",75,36,49,14,9,12,340,213,52,78
HD_98,"3,191",149,137,98,31,32,5,"1,219",478,121,114
HD_99,"1,107",41,32,26,4,4,3,862,403,104,141
HD_100,"2,217",106,113,57,24,5,1,"1,165",377,68,58
