County,Trump,Biden,Jorgensen,West,Pierce,Write-in_PRES,McConnell,McGrath,Barron,Write-in_SEN,Amdt1yes,Amdt1no,Amdt2yes,Amdt2no
Morgan,"4,301","1,175",27,21,18,2,"3,918","1,378",229,0,"2,295","2,278","1,410","3,296"
Muhlenberg,"10,497","3,545",138,34,17,4,"9,222","4,175",763,0,"6,633","4,581","4,011","7,438"
Nelson,"15,703","7,188",268,45,41,11,"14,219","7,943","1,042",0,"11,735","7,769","6,543","13,222"
Nicholas,"2,408",955,27,3,3,0,"2,151","1,088",149,0,"1,623",966,754,"1,857"
Ohio,"8,582","2,404",99,29,13,2,"7,619","2,765",694,0,"4,926","3,290","3,066","5,307"
Oldham,"22,654","14,505",601,113,67,36,"22,025","14,715","1,330",0,"23,462","9,876","10,394","23,562"
Owen,"4,292","1,098",46,10,10,2,"3,958","1,235",253,0,"2,267","1,662","1,402","2,603"
Owsley,"1,671",216,6,3,0,0,"1,517",280,80,0,723,517,418,856
Pendleton,"5,515","1,322",56,18,14,0,"4,993","1,570",350,0,"3,703","2,429","1,910","4,265"
Perry,"8,129","2,356",100,29,12,0,"7,390","2,788",375,0,"4,612","2,946","2,860","4,816"
Pike,"20,284","4,866",154,47,26,18,"18,366","6,017",883,0,"10,353","9,601","6,399","13,987"
Powell,"4,041","1,367",67,16,14,0,"3,642","1,591",260,0,"2,580","2,385","1,413","3,637"
Pulaski,"25,442","5,666",323,78,31,17,"23,900","6,120","1,496",2,"15,241","10,348","8,581","17,620"
Robertson,884,253,6,2,1,0,796,288,55,0,479,358,338,514
Rockcastle,"6,577","1,134",56,13,3,1,"6,194","1,225",336,0,"3,364","3,249","1,651","5,021"
Rowan,"5,994","3,880",137,31,16,7,"5,403","4,175",464,1,"5,188","3,316","2,515","6,079"
Russell,"7,519","1,331",84,11,9,1,"6,919","1,552",461,0,"4,187","3,153","2,514","4,979"
Scott,"17,767","10,567",480,90,52,13,"16,408","11,251","1,314",4,"17,037","9,399","8,132","18,673"
Shelby,"15,055","8,077",302,73,38,5,"14,113","8,332","1,149",0,"13,579","7,578","5,987","15,312"
Simpson,"5,888","2,681",128,17,18,0,"5,302","2,976",421,0,"4,779","2,805","2,584","5,121"
Spencer,"8,737","2,530",124,21,17,4,"8,026","2,827",554,0,"5,340","3,405","2,897","6,031"
Taylor,"9,376","2,963",119,35,19,5,"8,637","3,279",582,0,"5,991","3,960","3,410","6,743"
Todd,"4,062","1,205",60,19,12,5,"3,567","1,464",308,0,"2,363","1,510","1,408","2,568"
Trigg,"5,487","1,791",75,8,14,1,"5,000","2,034",334,0,"3,998","2,110","2,260","3,935"
Trimble,"3,227","1,012",60,10,10,1,"2,889","1,183",230,0,"2,374","1,428","1,180","2,664"
Union,"4,965","1,529",67,9,6,1,"4,351","1,803",399,0,"3,008","2,416","1,821","3,674"
Warren,"31,791","22,479",823,184,77,47,"29,719","23,347","2,367",1,"32,259","17,918","16,938","33,913"
Washington,"4,482","1,644",72,11,14,2,"4,107","1,769",317,0,"2,931","2,098","1,801","3,334"
Wayne,"7,430","1,700",69,29,12,0,"6,689","1,978",483,0,"4,244","3,039","2,462","5,015"
Webster,"4,506","1,412",54,16,3,2,"4,029","1,600",347,0,"2,448","1,802","1,511","2,816"
Whitley,"12,567","2,552",177,34,17,9,"11,634","2,887",777,0,"7,770","5,060","4,286","8,731"
Wolfe,"2,097",839,21,9,13,0,"1,912",945,124,0,"1,453","1,169",883,"1,809"
Woodford,"8,362","6,530",237,50,32,0,"8,119","6,612",518,0,"8,457","5,119","4,090","9,646"
