County,Beshear,Cameron,Fishback,Adams,Wheatley,Moellman,Coleman,Stevenson,Ball,Reeder,Metcalf,Bowman,Perry,Shell,Enlow
Hickman,470,953,0,"1,060",341,1,"1,056",343,"1,077",328,994,398,0,"1,060",334
Hopkins,"5,762","6,901",0,"8,401","4,025",0,"8,329","4,136","8,327","4,052","8,281","4,117",0,"8,459","3,930"
Jackson,743,"2,499",1,"2,824",358,1,"2,789",389,"2,813",352,"2,791",381,1,"2,822",341
Jefferson,"179,854","76,908",11,"105,790","146,216",51,"97,113","155,701","101,960","147,725","93,640","156,141",17,"96,794","151,952"
Jessamine,"8,007","9,104",1,"11,537","5,276",1,"10,874","5,896","11,515","5,196","10,773","5,840",2,"11,088","5,549"
Johnson,"1,898","3,220",0,"4,037","1,010",0,"3,887","1,138","4,079",968,"3,847","1,168",0,"4,006","1,021"
Kenton,"26,066","23,301",4,"26,928","21,598",34,"26,764","21,689","27,791","20,403","27,136","21,101",15,"27,254","20,795"
Knott,"1,847","1,545",0,"2,016","1,227",0,"1,947","1,288","2,050","1,176","1,843","1,363",0,"2,003","1,217"
Knox,"2,286","4,333",0,"5,192","1,272",0,"5,065","1,395","5,207","1,223","5,023","1,414",0,"5,169","1,268"
Larue,"1,756","2,796",1,"3,334","1,133",2,"3,280","1,207","3,356","1,102","3,245","1,189",0,"2,759","1,746"
Laurel,"4,974","10,862",1,"12,787","2,798",0,"12,477","3,107","12,832","2,727","12,409","3,115",0,"12,798","2,780"
Lawrence,"1,361","2,287",0,"2,656",884,1,"2,613",930,"2,605",910,"2,529",979,1,"2,619",886
Lee,705,817,0,"1,129",355,0,"1,101",375,"1,148",334,"1,090",382,0,"1,130",328
Leslie,667,"1,530",0,"1,850",284,0,"1,787",336,"1,834",277,"1,790",327,0,"1,844",281
Letcher,"2,205","2,009",0,"2,689","1,365",0,"2,577","1,465","2,682","1,342","2,432","1,574",0,"2,614","1,395"
Lewis,911,"1,968",0,"2,322",495,1,"2,320",510,"2,304",522,"2,278",530,1,"2,331",483
Lincoln,"2,586","4,252",0,"5,176","1,550",2,"5,050","1,682","5,200","1,503","5,076","1,646",0,"5,252","1,475"
Livingston,"1,061","1,836",0,"2,161",688,2,"2,114",741,"2,170",668,"2,072",757,2,"2,139",694
Logan,"2,449","4,105",3,"4,616","1,846",1,"4,632","1,863","4,637","1,819","4,490","1,946",0,"4,633","1,823"
Lyon,"1,221","1,619",0,"1,980",803,1,"1,911",882,"1,999",780,"1,848",913,0,"1,942",818
Madison,"14,012","13,080",1,"16,781","9,860",3,"15,745","10,881","16,660","9,897","15,854","10,714",2,"16,359","10,277"
Magoffin,"1,577","1,553",0,"1,861","1,179",0,"1,857","1,187","1,883","1,158","1,738","1,294",0,"1,875","1,154"
Marion,"2,891","2,653",1,"3,192","2,223",0,"3,236","2,165","3,374","2,022","2,965","2,373",0,"3,097","2,233"
Marshall,"4,610","6,932",1,"8,241","3,090",5,"8,096","3,287","8,370","2,976","7,803","3,479",2,"8,281","3,040"
Martin,513,"1,208",0,"1,456",252,0,"1,426",277,"1,469",236,"1,420",280,0,"1,444",256
Mason,"2,247","2,566",1,"3,065","1,642",0,"2,970","1,728","3,002","1,673","2,912","1,742",1,"3,056","1,598"
McCracken,"9,867","11,099",0,"13,672","6,954",2,"13,059","7,573","13,554","7,041","12,754","7,700",2,"13,239","7,264"
McCreary,853,"2,170",1,"2,444",474,0,"2,432",497,"2,471",452,"2,402",501,0,"2,425",481
McLean,"1,238","1,739",0,"2,045",872,0,"2,033",885,"1,987",897,"1,918",971,0,"2,048",849
Meade,"3,599","4,742",3,"5,665","2,558",3,"5,620","2,601","5,723","2,477","5,466","2,698",4,"5,671","2,509"
Menifee,862,"1,016",1,"1,223",608,1,"1,175",642,"1,201",609,"1,103",698,0,"1,191",611
Mercer,"3,399","4,279",1,"5,270","2,203",2,"5,154","2,321","5,421","2,027","5,030","2,366",2,"5,233","2,193"
Metcalfe,"1,242","1,788",0,"2,108",801,0,"2,101",808,"2,122",771,"2,040",822,0,"2,167",726
Monroe,"1,023","3,025",0,"3,367",465,0,"3,338",497,"3,383",437,"3,271",507,0,"3,437",416
Montgomery,"3,962","4,073",0,"5,310","2,538",1,"5,117","2,719","5,198","2,587","4,898","2,861",1,"5,195","2,553"
Morgan,"1,630","1,824",1,"2,209","1,083",0,"2,201","1,096","2,203","1,071","2,032","1,217",0,"2,227","1,047"
Muhlenberg,"3,833","4,419",0,"5,224","2,812",0,"5,224","2,823","5,070","2,869","4,939","3,004",1,"5,252","2,706"
Nelson,"7,562","7,375",0,"9,161","5,424",4,"9,023","5,607","9,323","5,184","8,711","5,735",1,"8,374","6,157"
Nicholas,"1,142",897,0,"1,258",731,0,"1,189",792,"1,294",687,"1,110",842,0,"1,276",699
Ohio,"2,479","3,839",0,"4,459","1,693",0,"4,487","1,700","4,456","1,676","4,329","1,794",0,"4,526","1,619"
Oldham,"12,952","13,177",1,"16,298","9,369",44,"15,615","10,147","16,256","9,296","15,473","10,031",0,"15,779","9,695"
Owen,"1,494","2,190",0,"2,607",965,0,"2,609",975,"2,677",893,"2,493","1,059",0,"2,632",923
Owsley,381,552,0,703,184,0,693,199,709,179,672,202,0,700,181
Pendleton,"1,511","2,444",0,"2,828","1,053",1,"2,799","1,090","2,865","1,012","2,773","1,097",0,"2,848","1,037"
Perry,"3,121","2,473",0,"3,381","1,985",1,"3,317","2,049","3,504","1,847","3,106","2,181",1,"3,435","1,882"
Pike,"5,797","6,954",0,"8,360","4,033",0,"8,449","3,996","8,621","3,735","7,921","4,354",0,"8,479","3,797"
Powell,"1,518","1,517",0,"1,962","1,024",0,"1,872","1,121","1,979",994,"1,828","1,146",0,"1,934","1,044"
Pulaski,"6,139","12,957",1,"15,283","3,478",4,"14,913","3,874","15,440","3,317","14,816","3,841",4,"15,193","3,544"
Robertson,307,388,0,443,239,0,426,251,450,231,431,241,0,446,227
Rockcastle,"1,244","3,029",0,"3,544",651,0,"3,485",725,"3,568",616,"3,489",705,0,"3,513",730
Rowan,"3,907","2,524",0,"3,422","2,821",0,"3,229","2,983","2,982","3,273","3,058","3,110",0,"3,329","2,830"
Russell,"1,604","3,737",0,"4,381",848,3,"4,337",911,"4,404",826,"4,253",954,1,"4,410",830
Scott,"10,575","8,801",1,"11,878","7,133",4,"10,964","8,038","11,806","7,096","10,831","7,976",1,"11,360","7,509"
Shelby,"7,946","8,751",4,"10,928","5,475",16,"10,563","5,892","10,913","5,423","10,271","5,981",2,"10,660","5,622"
Simpson,"1,905","2,718",0,"3,020","1,517",0,"2,937","1,611","3,032","1,500","2,951","1,580",0,"3,035","1,501"
Spencer,"2,752","4,677",0,"5,406","1,911",1,"5,357","1,946","5,450","1,802","5,193","2,034",0,"5,413","1,807"
Taylor,"3,198","4,641",0,"5,545","2,112",1,"5,549","2,118","5,772","1,870","5,370","2,200",0,"5,627","2,005"
