District,Cameron,Quarles,Craft,Deters,Harmon,Keck,Cooper,Clark,Smith,DeVore,Rice,Ormerod,Beshear,Young,Martin,Adams,Knipper,Maricle,Ball,Petteys,Metcalf,Cooperrider,Oleka,Shell,Heath,Enlow,Malone
HD_18,"2,327",946,406,187,61,40,28,132,25,11,6,8,"1,017",83,73,"2,353",998,328,"2,595","1,048","2,010",825,737,"2,125","1,474",609,489
HD_19,"1,405","1,215",460,121,63,53,20,20,9,6,9,5,"1,266",82,51,"1,945",744,268,"2,042",851,"1,685",728,453,"1,890","1,030",666,619
HD_20,986,790,344,54,45,101,7,17,3,4,7,5,"1,560",34,33,"1,508",432,134,"1,588",448,"1,074",502,438,"1,337",715,923,542
HD_21,"1,845","1,592","2,133",193,100,52,37,19,24,18,14,9,753,42,54,"3,397","1,195",372,"3,814","1,177","2,798","1,565",522,"2,631","2,313",396,369
HD_22,"2,182","1,519","1,107",221,180,73,95,69,60,29,23,13,"1,450",169,94,"3,111","1,358",388,"3,671","1,164","2,276","1,926",571,"2,357","2,430",864,670
HD_23,"1,188",860,"1,253",116,38,53,15,11,7,3,2,5,"1,264",118,81,"2,003",745,296,"2,216",784,"2,001",671,311,"1,764","1,287",583,731
HD_24,"1,862",955,635,193,68,37,18,46,14,8,5,10,"1,214",160,120,"1,911","1,165",303,"2,287","1,041","1,915",856,564,"1,862","1,479",798,632
HD_25,"1,619",260,248,134,33,37,12,31,10,8,4,6,"1,434",90,47,"1,267",631,215,"1,552",557,"1,080",557,457,"1,042","1,032",906,584
HD_26,"1,624",283,308,158,43,42,18,21,10,13,6,6,"1,068",77,70,"1,145",558,606,"1,530",699,"1,273",552,441,"1,277",989,642,509
HD_27,"1,478",269,332,174,37,42,22,20,9,10,7,6,"1,292",98,58,"1,261",679,249,"1,531",615,"1,264",539,375,"1,105","1,055",753,626
HD_28,"1,143",213,380,132,52,24,28,11,12,11,4,7,"2,024",80,71,"1,212",352,266,"1,290",516,"1,007",424,383,935,896,"1,097",917
HD_29,"1,985",468,446,76,87,70,26,15,11,20,4,5,"2,248",79,62,"1,786",696,320,"2,014",741,"1,374",700,684,"1,448","1,317","1,397",796
HD_30,366,100,104,33,25,10,23,6,5,8,1,8,"2,293",53,31,398,140,88,446,162,282,157,172,300,320,"1,205",991
