County,Cameron,Quarles,Craft,Deters,Harmon,Keck,Cooper,Clark,Smith,DeVore,Rice,Ormerod,Beshear,Young,Martin,Adams,Knipper,Maricle,Ball,Petteys,Metcalf,Cooperrider,Oleka,Shell,Heath,Enlow,Malone
Kenton,"5,124","1,140","2,163","1,903",370,247,197,65,44,35,22,19,"5,147",167,123,"4,637","4,697",938,"6,836","2,937","4,100","3,636","2,128","5,763","3,753","3,197","1,565"
Knott,200,43,116,29,9,10,8,0,2,1,0,1,612,74,60,220,94,50,265,102,204,70,86,209,162,235,408
Knox,"1,205",514,713,140,71,92,10,7,17,8,12,10,342,18,15,"1,554",595,308,"1,752",650,"1,727",375,358,"1,369","1,092",151,179
Larue,593,296,158,46,21,11,6,22,2,4,1,2,458,77,40,512,473,71,707,319,596,296,145,566,466,418,150
Laurel,"2,972","1,648","1,320",285,146,192,15,18,27,10,12,15,573,32,24,"3,800","1,381",728,"4,359","1,480","3,722","1,000","1,087","3,718","2,207",305,237
Lawrence,440,176,251,94,30,4,5,8,6,3,10,5,323,23,8,563,223,100,619,258,539,223,110,388,445,152,168
Lee,223,164,122,53,23,6,6,1,4,0,1,1,120,12,5,422,99,39,378,156,334,135,75,274,283,52,65
Leslie,419,203,360,40,17,12,7,6,6,3,4,5,39,6,2,536,189,191,650,237,633,136,120,664,271,23,18
Letcher,308,154,209,85,22,26,5,5,7,4,14,3,648,47,44,482,152,103,472,255,441,167,124,397,349,324,336
Lewis,551,394,191,87,26,8,19,9,9,8,5,4,146,10,4,751,344,93,773,404,461,556,165,617,503,55,91
Lincoln,966,511,237,94,205,81,8,4,7,2,10,6,540,53,37,"1,305",480,191,"1,369",589,"1,340",441,238,"1,375",619,291,294
Livingston,402,137,144,30,8,7,5,1,2,3,3,0,212,23,12,497,119,29,495,137,368,223,38,194,442,115,121
Logan,586,443,249,61,36,16,18,8,6,4,2,1,666,73,53,851,322,100,950,322,637,410,204,648,611,430,304
Lyon,338,137,111,35,8,4,1,5,4,1,1,0,444,41,31,420,107,38,438,122,319,173,58,200,356,245,224
Madison,"3,793","1,792","1,616",270,341,184,34,43,135,47,29,18,"5,078",366,177,"5,418","1,391",748,"5,251","2,194","4,289","1,763","1,536","5,544","2,184","2,816","2,149"
Magoffin,315,192,95,40,20,13,6,1,4,2,3,3,489,51,29,435,125,58,451,165,403,110,86,283,334,170,342
Marion,303,136,106,36,17,8,7,4,2,2,0,1,803,112,68,397,104,39,404,141,301,147,98,274,266,464,419
Marshall,"1,407",443,344,95,41,22,17,11,9,3,3,0,"1,038",137,83,"1,558",462,145,"1,611",522,"1,091",830,197,657,"1,530",600,554
Martin,278,61,239,56,20,17,2,1,3,3,2,1,71,2,1,401,149,73,488,154,394,127,109,298,324,36,32
Mason,470,205,156,75,16,14,7,5,5,5,2,3,549,57,35,567,223,65,557,259,388,265,163,474,314,279,297
McCracken,"2,164",767,830,101,72,47,9,15,17,10,6,9,"1,923",118,82,"2,844",666,167,"2,795",746,"1,995","1,034",445,907,"2,801","1,259",659
McCreary,535,166,204,84,49,54,6,4,4,7,2,1,107,15,4,526,283,139,675,258,584,237,114,363,550,60,52
McLean,382,189,57,24,7,7,8,7,5,2,1,4,341,31,31,369,166,63,367,226,356,138,97,335,256,160,200
Meade,"1,219",227,268,142,25,31,16,15,7,8,2,2,903,75,50,"1,043",542,196,"1,246",496,"1,044",427,305,894,866,521,456
Menifee,191,92,36,47,8,0,3,2,2,3,0,1,347,52,49,210,93,28,227,98,187,82,59,142,190,133,244
Mercer,804,702,145,77,137,32,7,7,4,8,3,4,896,96,60,"1,169",378,144,"1,193",463,754,481,418,"1,151",572,452,484
Metcalfe,326,299,285,41,26,6,10,7,7,4,3,1,338,24,33,606,210,59,622,236,569,240,65,445,407,163,187
Monroe,361,510,841,60,13,10,5,3,3,4,1,1,80,3,1,881,435,124,"1,129",319,738,507,163,851,640,41,36
Montgomery,875,716,218,149,41,27,12,4,7,7,4,4,"1,369",172,62,"1,184",397,212,"1,190",552,962,448,361,"1,066",687,607,751
Morgan,234,112,63,52,11,0,5,3,0,1,3,1,506,91,66,269,127,49,277,148,201,124,105,192,243,246,346
Muhlenberg,741,206,249,120,35,14,39,26,12,6,5,5,"1,390",156,98,744,362,145,845,402,729,352,155,609,608,676,812
Nelson,"1,487",425,359,126,58,29,18,41,17,11,7,8,"1,672",96,99,"1,130","1,002",199,"1,558",671,"1,079",786,413,"1,246",962,"1,051",661
Nicholas,99,130,36,21,2,4,1,2,1,0,0,0,433,96,32,178,74,19,183,77,127,91,49,179,83,180,338
Ohio,970,562,277,111,38,24,48,29,18,3,8,5,578,45,21,"1,110",479,214,"1,226",578,"1,112",459,221,"1,081",689,276,310
Oldham,"4,410",996,722,210,86,136,46,25,17,20,10,9,"2,323",74,46,"3,579","2,022",323,"4,091","1,647","2,435","1,745","1,578","3,475","2,210","1,481",769
