District,Harris,Trump,Kennedy,Stein,Oliver,Ayyadurai,Write-in,Amdt1yes,Amdt1no,Amdt2yes,Amdt2no
HD_55,"5,612","16,844",203,51,70,8,17,"14,032","7,114","8,050","14,104"
HD_56,"9,663","14,258",247,103,107,15,24,"14,083","9,246","8,532","15,522"
HD_57,"9,938","10,344",228,108,68,15,11,"10,148","9,399","5,755","14,474"
HD_58,"7,481","15,407",230,76,86,13,13,"14,458","7,624","9,339","13,377"
HD_59,"9,662","15,573",233,123,130,12,16,"16,485","8,384","10,070","15,448"
HD_60,"8,049","16,177",194,81,115,14,18,"16,173","7,489","9,480","14,733"
HD_61,"4,241","17,374",164,64,62,12,8,"14,252","6,838","7,951","13,521"
HD_62,"7,917","14,561",218,66,90,7,5,"14,470","7,188","7,778","14,628"
HD_63,"8,143","11,955",195,76,102,12,18,"12,789","6,628","8,107","11,962"
HD_64,"7,760","14,214",190,126,86,21,18,"14,285","7,062","8,526","13,501"
HD_65,"9,455","10,579",174,126,100,15,31,"12,152","7,176","8,378","11,642"
HD_66,"6,900","16,535",191,72,132,10,11,"15,753","7,214","9,101","14,294"
HD_67,"9,158","9,671",190,92,116,10,15,"10,406","7,798","6,694","12,097"
HD_68,"8,935","15,885",216,115,100,13,14,"15,358","8,739","9,502","15,249"
HD_69,"6,695","10,889",142,106,78,16,8,"11,033","6,023","6,609","10,900"
HD_70,"5,352","16,574",174,51,42,13,10,"13,850","6,972","6,782","14,816"
HD_71,"4,370","15,601",158,91,49,7,3,"12,568","6,276","7,004","12,616"
HD_72,"5,246","14,313",189,47,51,8,2,"11,430","7,052","6,605","12,566"
HD_73,"7,576","13,984",203,99,66,6,18,"12,604","7,923","7,696","13,509"
HD_74,"5,271","15,906",209,54,47,13,4,"12,771","7,463","7,719","13,247"
HD_75,"10,191","5,745",131,110,77,6,23,"7,313","7,982","3,697","12,196"
HD_76,"12,876","7,419",184,107,84,9,28,"9,553","10,006","5,081","15,211"
HD_77,"12,851","4,839",135,127,63,20,19,"8,022","8,940","3,934","13,586"
HD_78,"4,991","17,339",185,78,87,19,6,"15,220","6,499","8,346","13,890"
HD_79,"11,106","6,363",167,108,83,7,26,"8,483","8,416","4,633","12,903"
HD_80,"3,900","16,683",138,38,53,9,0,"13,665","5,866","7,767","12,635"
HD_81,"7,185","14,556",236,85,92,8,9,"13,677","7,248","7,981","13,690"
HD_82,"2,635","14,987",116,25,36,10,0,"11,619","4,992","6,204","10,835"
HD_83,"2,940","18,551",124,28,49,9,1,"13,744","6,187","7,677","12,895"
HD_84,"3,171","13,574",119,38,32,10,0,"9,630","5,401","5,472","10,447"
HD_85,"3,907","17,519",143,49,50,8,8,"14,161","5,923","7,741","13,164"
HD_86,"2,521","15,612",118,47,46,9,0,"11,257","5,179","7,046","10,580"
HD_87,"2,282","14,144",89,29,22,6,6,"9,287","5,094","5,929","9,141"
HD_88,"10,928","12,395",205,115,104,14,10,"13,990","8,670","7,444","15,926"
HD_89,"3,846","17,820",172,82,68,18,5,"13,050","6,605","8,011","13,008"
HD_90,"2,247","16,956",152,42,38,17,1,"11,843","5,607","6,761","11,599"
HD_91,"5,570","13,733",204,57,59,18,9,"11,718","6,577","6,401","12,598"
HD_92,"3,388","16,075",146,50,40,10,0,"10,829","6,474","5,760","12,872"
HD_93,"10,914","8,442",186,187,100,16,37,"10,344","8,528","5,895","13,623"
HD_94,"2,913","15,411",131,33,30,8,2,"10,519","5,936","5,732","11,573"
HD_95,"4,023","15,416",198,45,55,18,6,"11,468","6,575","6,210","12,589"
HD_96,"3,694","16,220",144,35,48,7,2,"12,117","6,107","6,591","12,500"
HD_97,"2,282","15,265",124,30,31,7,0,"10,907","5,091","5,360","11,446"
HD_98,"5,567","16,137",173,47,58,8,2,"13,237","7,131","6,969","14,204"
HD_99,"4,955","12,912",177,60,42,10,1,"10,325","6,284","6,079","11,444"
HD_100,"5,226","14,409",156,51,43,13,2,"11,601","6,752","6,389","12,681"
